"맥류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","합계","면적[ha]","ha","3030","3764.5","3625.3","4754","4993","4811.8","6533.9","6342.6","7088.4","5513.4",
"합계","합계","생산량[M/T]","M/T","10174.4","10644.5","14169.2","17560","15847","17438","20177.9","28120.6","28035.1","21707.3",
"합계","해남읍","면적[ha]","ha","180.1","238","222.9","246","306","377.5","384.4","421.3","377.4","141.8",
"합계","해남읍","생산량[M/T]","M/T","656.1","655.5","853.4","869.5","962","1356.8","1130.9","1869.5","1513.6","576.3",
"합계","삼산면","면적[ha]","ha","46.5","245.3","235.4","323","435","307.2","402.1","348.7","356.9","287.5",
"합계","삼산면","생산량[M/T]","M/T","167.4","632.4","932.5","1214.7","1386","1082.8","1181.3","1568.5","1419.8","1138.1",
"합계","화산면","면적[ha]","ha","19.8","27.9","25.1","30","24","50.4","98.7","147","96.6","78.2",
"합계","화산면","생산량[M/T]","M/T","66.5","70.4","98.2","108.8","75","176.9","286.4","658.7","389.6","319",
"합계","현산면","면적[ha]","ha","294.7","127.7","130.2","215","227","311.6","398","384.5","369.9","497.4",
"합계","현산면","생산량[M/T]","M/T","1062.8","337.5","508.4","794.3","720","1120.1","1177.7","1721.7","1459","1960.4",
"합계","송지면","면적[ha]","ha","111","179.4","184.5","177","87","145","227.8","204.6","200.8","295.6",
"합계","송지면","생산량[M/T]","M/T","376.3","487.3","733.5","655","276","547.6","727.4","860.4","792.9","1175.6",
"합계","북평면","면적[ha]","ha","150.2","114","106","160","210","213","292.3","277.3","224","218.1",
"합계","북평면","생산량[M/T]","M/T","492.3","320.8","425.7","614.7","671","753","852.1","1257.9","876.6","850.8",
"합계","북일면","면적[ha]","ha","175.9","61","61","86","96","53.9","111.9","119","88.5","132.6",
"합계","북일면","생산량[M/T]","M/T","619.8","165.6","249.2","333.4","305","189.4","325.2","538.2","347.7","518.1",
"합계","옥천면","면적[ha]","ha","218.7","273.3","269.7","257","151","197.7","459.4","150","381.2","299.2",
"합계","옥천면","생산량[M/T]","M/T","713.3","735.5","1084.6","981.2","481","703.2","1364.1","676.4","1516.3","1179",
"합계","계곡면","면적[ha]","ha","278.3","339","306","438","386","442.7","611.8","469.8","515.6","492.1",
"합계","계곡면","생산량[M/T]","M/T","993.1","949.4","1191.3","1556.2","1227","1650.6","2027.8","2071.6","2044.8","1945.7",
"합계","마산면","면적[ha]","ha","221.4","455.5","430.7","462","551","556.9","551.9","505.2","467.7","572.5",
"합계","마산면","생산량[M/T]","M/T","734.5","1372.2","1664","1663","1745","2060.4","1780.1","2201.8","1833.9","2237.8",
"합계","황산면","면적[ha]","ha","510.1","758","724.5","705","1001","577.1","1473.2","1343","1749.8","979.1",
"합계","황산면","생산량[M/T]","M/T","1645","2141","2827.5","2566.1","3174","2062.9","4507","5916.8","6962.4","3855.1",
"합계","산이면","면적[ha]","ha","352.6","575.2","599.8","1016","968","955.7","792.8","1117.8","1132.5","845.1",
"합계","산이면","생산량[M/T]","M/T","1139.6","1732.9","2306.4","3787.8","3078","3487.2","2559.5","4951.8","4460.1","3310.6",
"합계","문내면","면적[ha]","ha","324.3","177","131","222","181","283.1","229.4","408.2","659.6","261.1",
"합계","문내면","생산량[M/T]","M/T","1026.1","494.6","513.4","822.4","574","1033.9","725.1","1846.8","2576.6","1017",
"합계","화원면","면적[ha]","ha","146.6","193.2","198.5","417","370","340","500.2","446.2","467.9","413.1",
"합계","화원면","생산량[M/T]","M/T","481.5","549.4","781.1","1593.2","1173","1213.2","1533.3","1980.5","1841.9","1623.9",
"겉보리","합계","면적[ha]","ha","","","","","","40.8","29.2","87.6","110.1","52.7",
"겉보리","합계","생산량[M/T]","M/T","","","","","","183.6","105.4","316.3","397.5","190.2",
"겉보리","해남읍","면적[ha]","ha","","","","","","6.3","-","13.7","17.5","-",
"겉보리","해남읍","생산량[M/T]","M/T","","","","","","28.4","-","49.5","63.2","-",
"겉보리","삼산면","면적[ha]","ha","","","","","","-","-","-","-","-",
"겉보리","삼산면","생산량[M/T]","M/T","","","","","","-","-","-","-","-",
"겉보리","화산면","면적[ha]","ha","","","","","","-","-","-","-","-",
"겉보리","화산면","생산량[M/T]","M/T","","","","","","-","-","-","-","-",
"겉보리","현산면","면적[ha]","ha","","","","","","-","-","-","-","-",
"겉보리","현산면","생산량[M/T]","M/T","","","","","","-","-","-","-","-",
"겉보리","송지면","면적[ha]","ha","","","","","","8","8.5","37.3","-","-",
"겉보리","송지면","생산량[M/T]","M/T","","","","","","36","30.7","134.7","-","-",
"겉보리","북평면","면적[ha]","ha","","","","","","-","1.9","","-","1.6",
"겉보리","북평면","생산량[M/T]","M/T","","","","","","-","6.9","-","-","5.8",
"겉보리","북일면","면적[ha]","ha","","","","","","-","-","-","-","-",
"겉보리","북일면","생산량[M/T]","M/T","","","","","","-","-","-","-","-",
"겉보리","옥천면","면적[ha]","ha","","","","","","-","-","-","1.2","-",
"겉보리","옥천면","생산량[M/T]","M/T","","","","","","-","-","-","4.3","-",
"겉보리","계곡면","면적[ha]","ha","","","","","","-","-","-","-","-",
"겉보리","계곡면","생산량[M/T]","M/T","","","","","","-","-","-","-","-",
"겉보리","마산면","면적[ha]","ha","","","","","","2.7","-","20.8","53.4","9.5",
"겉보리","마산면","생산량[M/T]","M/T","","","","","","12.2","-","75.1","192.8","34.3",
"겉보리","황산면","면적[ha]","ha","","","","","","-","4.2","","5.3","11.1",
"겉보리","황산면","생산량[M/T]","M/T","","","","","","-","15.2","-","19.1","40.1",
"겉보리","산이면","면적[ha]","ha","","","","","","8.8","14.6","15.8","20.2","17.9",
"겉보리","산이면","생산량[M/T]","M/T","","","","","","39.6","52.7","57","72.9","64.6",
"겉보리","문내면","면적[ha]","ha","","","","","","15","-","-","12.5","12",
"겉보리","문내면","생산량[M/T]","M/T","","","","","","67.5","-","-","45.1","43.3",
"겉보리","화원면","면적[ha]","ha","","","","","","-","","-","-",".6",
"겉보리","화원면","생산량[M/T]","M/T","","","","","","-","","-","-","2.2",
"쌀보리","합계","면적[ha]","ha","449","779","726.5","785.3","702","613.8","1130.1","1507","1469.4","932",
"쌀보리","합계","생산량[M/T]","M/T","1854.2","1830.7","2789.8","2748.6","2183","2074.7","3243.4","6630.9","6112.7","3867.7",
"쌀보리","해남읍","면적[ha]","ha","74.2","99.6","66.5","90","148","143.5","113.2","192.4","173.2","93.6",
"쌀보리","해남읍","생산량[M/T]","M/T","311.6","234.1","255.4","315","460","485","324.9","846.6","720.5","388.4",
"쌀보리","삼산면","면적[ha]","ha","14.1","110.2","100.7","110","60","60.2","72.9","101","97.3","67.4",
"쌀보리","삼산면","생산량[M/T]","M/T","59.2","259","386.7","385","187","203.5","209.2","444.4","404.8","279.7",
"쌀보리","화산면","면적[ha]","ha","2","17.5","14.7","13.3","17","11.5","36","62","47.6","55.7",
"쌀보리","화산면","생산량[M/T]","M/T","8.4","41.1","56.4","46.6","53","38.9","103.3","272.8","198","231.2",
"쌀보리","현산면","면적[ha]","ha","113.3","57.2","57","63","51","32","49","89.5","54.5","87.8",
"쌀보리","현산면","생산량[M/T]","M/T","464.5","134.4","218.9","220.5","159","108.2","140.6","393.8","226.7","364.1",
"쌀보리","송지면","면적[ha]","ha","17","34.7","33.8","10","7","15","28.1","60.4","35.8","94",
"쌀보리","송지면","생산량[M/T]","M/T","69.7","81.5","129.8","35","22","50.7","80.6","265.8","148.9","390.1",
"쌀보리","북평면","면적[ha]","ha","4","6","6","11","4","7.6","3.2","5.1","3","2.7",
"쌀보리","북평면","생산량[M/T]","M/T","16.8","14.1","23","38.5","12","25.5","9.2","22.4","12.5","11.2",
"쌀보리","북일면","면적[ha]","ha","56.7","-","-","14","14","3.2","9.5","15","6.5","3.7",
"쌀보리","북일면","생산량[M/T]","M/T","232.5","-","-","49","43","10.8","27.3","66","27","15.4",
"쌀보리","옥천면","면적[ha]","ha","5","46.6","46.6","48","15","18.7","62.9","24.9","105","48.4",
"쌀보리","옥천면","생산량[M/T]","M/T","21","109.5","178.9","168","47","63.1","180.5","109.6","436.8","200.9",
"쌀보리","계곡면","면적[ha]","ha","99.2","106","106","112","","14.7","103.4","211.1","126.6","112.4",
"쌀보리","계곡면","생산량[M/T]","M/T","406.7","249.1","407","392","","49.7","296.8","928.8","526.7","466.5",
"쌀보리","마산면","면적[ha]","ha","17.3","20.5","18.5","32","54","57.1","119.8","112.4","92.2","45.4",
"쌀보리","마산면","생산량[M/T]","M/T","72.7","48.2","71","112","168","193","343.8","494.6","383.6","188.4",
"쌀보리","황산면","면적[ha]","ha","6.6","176","176","161","201","142.1","404","421","512.5","171.3",
"쌀보리","황산면","생산량[M/T]","M/T","27.7","413.6","675.8","563.5","625","480.3","1159.5","1852.4","2132","710.9",
"쌀보리","산이면","면적[ha]","ha","16.3","21.6","21.6","30","29","40.9","60.2","164.5","160","89.2",
"쌀보리","산이면","생산량[M/T]","M/T","66.8","50.8","82.9","105","90","138.2","172.8","723.8","665.6","370.2",
"쌀보리","문내면","면적[ha]","ha","10","64","60","62","43","18.8","36.5","14.8","5.4","8.7",
"쌀보리","문내면","생산량[M/T]","M/T","42","150.4","230.4","217","134","63.5","104.8","65.1","22.5","36.1",
"쌀보리","화원면","면적[ha]","ha","13.3","19.1","19.1","29","59","48.6","31.4","32.9","49.8","51.7",
"쌀보리","화원면","생산량[M/T]","M/T","54.5","44.9","73.3","101.5","183","164.3","90.1","144.8","207.2","214.6",
"맥주보리","합계","면적[ha]","ha","1475","1807.7","1807.7","2638","2947","2679.9","4023.5","4238","4764","3259",
"맥주보리","합계","생산량[M/T]","M/T","4869.7","4844.6","7429.6","10420.1","9430","9433.2","11708.4","19240.5","18627.2","12710.1",
"맥주보리","해남읍","면적[ha]","ha","56.9","65.1","65.1","61","85","114.5","252.1","210.4","182.2","39",
"맥주보리","해남읍","생산량[M/T]","M/T","187.8","174.5","267.6","241","272","403","733.6","955.2","712.4","152.1",
"맥주보리","삼산면","면적[ha]","ha","22.3","118.7","118.7","195","359","220.3","313.2","247","258.6","217.3",
"맥주보리","삼산면","생산량[M/T]","M/T","75.8","318.1","487.9","770.3","1149","775.5","911.4","1121.4","1011.1","847.5",
"맥주보리","화산면","면적[ha]","ha","10.8","8.4","8.4","11","5","35.8","62","85","49","22.5",
"맥주보리","화산면","생산량[M/T]","M/T","35.6","22.5","34.5","43.5","16","126","180.4","385.9","191.6","87.8",
"맥주보리","현산면","면적[ha]","ha","178","50","50","111","126","204.6","324.6","279.8","266.3","291",
"맥주보리","현산면","생산량[M/T]","M/T","587.4","134","205.5","438.5","403","720.2","944.6","1270.3","1041.2","1134.9",
"맥주보리","송지면","면적[ha]","ha","60","118.7","118.7","106","40","37","123.4","73","105.1","126.6",
"맥주보리","송지면","생산량[M/T]","M/T","198","318.1","487.9","418.7","128","130.2","359.1","331.4","410.9","493.7",
"맥주보리","북평면","면적[ha]","ha","111.3","83","83","130","199","193.7","286.9","271.9","221","208.9",
"맥주보리","북평면","생산량[M/T]","M/T","367.3","222.4","341.1","513.5","637","681.8","834.9","1234.4","864.1","814.7",
"맥주보리","북일면","면적[ha]","ha","89","58","58","72","82","50.3","102.4","104","82","128.9",
"맥주보리","북일면","생산량[M/T]","M/T","293.7","155.4","238.4","284.4","262","177.1","298","472.2","320.6","502.7",
"맥주보리","옥천면","면적[ha]","ha","150","200","200","190","114","152","362.7","123.6","271","250.8",
"맥주보리","옥천면","생산량[M/T]","M/T","495","536","822","750.5","365","535","1055.5","561.1","1059.6","978.1",
"맥주보리","계곡면","면적[ha]","ha","155.7","123","123","136","216","172.9","222.5","216.5","245","215.9",
"맥주보리","계곡면","생산량[M/T]","M/T","513.8","329.6","505.5","537.2","691","608.6","647.5","982.9","958","842",
"맥주보리","마산면","면적[ha]","ha","88.4","205.7","205.7","203","225","212.1","228.8","296.3","232.5","161.7",
"맥주보리","마산면","생산량[M/T]","M/T","291.7","551.3","845.4","801.9","720","746.6","665.8","1345.2","909.1","630.6",
"맥주보리","황산면","면적[ha]","ha","282","339","339","319","580","296","800","760","939","492.1",
"맥주보리","황산면","생산량[M/T]","M/T","930.6","908.5","1393.3","1260.1","1856","1041.9","2328","3450.4","3671.5","1919.2",
"맥주보리","산이면","면적[ha]","ha","152","266","266","660","599","581","440","823.9","855.2","503.9",
"맥주보리","산이면","생산량[M/T]","M/T","501.6","712.9","1093.3","2607","1917","2045.1","1280.4","3740.5","3343.8","1965.2",
"맥주보리","문내면","면적[ha]","ha","49","53","53","119","100","181","125.8","387.5","641.7","240.4",
"맥주보리","문내면","생산량[M/T]","M/T","161.7","142","217.8","470.1","320","637.1","366.1","1759.3","2509","937.6",
"맥주보리","화원면","면적[ha]","ha","69.6","119.1","119.1","325","217","228.7","379.1","359.1","415.4","360",
"맥주보리","화원면","생산량[M/T]","M/T","229.7","319.2","489.5","1283.8","694","805","1103.2","1630.3","1624.2","1404",
"밀","합계","면적[ha]","ha","1106","1177.8","1091.1","1330.7","1344","1477.2","1351.1","510","744.9","1269.7",
"밀","합계","생산량[M/T]","M/T","3450.5","3969.2","3949.8","4391.3","4234","5746.5","5120.7","1932.9","2897.7","4939.3",
"밀","해남읍","면적[ha]","ha","49","73.3","91.3","95","73","113.2","19.1","4.8","4.5","9.2",
"밀","해남읍","생산량[M/T]","M/T","156.7","247","330.5","313.5","230","440.3","72.4","18.2","17.5","35.8",
"밀","삼산면","면적[ha]","ha","10.1","16.4","16","18","16","26.7","16",".7","1","2.8",
"밀","삼산면","생산량[M/T]","M/T","32.3","55.3","57.9","59.4","50","103.9","60.6","2.7","3.9","10.9",
"밀","화산면","면적[ha]","ha","7","2","2","5.7","2","3.1",".7","-","-","-",
"밀","화산면","생산량[M/T]","M/T","22.5","6.7","7.2","18.8","6","12.1","2.7","-","-","-",
"밀","현산면","면적[ha]","ha","3.4","20.5","23.2","41","50","75","24.4","15.2","49.1","118.6",
"밀","현산면","생산량[M/T]","M/T","10.9","69.1","84","135.3","158","291.8","92.5","57.6","191","461.4",
"밀","송지면","면적[ha]","ha","34","26","32","61","40","85","67.8","33.9","59.9","75",
"밀","송지면","생산량[M/T]","M/T","108.6","87.6","115.8","201.3","126","330.7","257","128.5","233","291.8",
"밀","북평면","면적[ha]","ha","34.9","25","17","19","7","11.7",".3",".3","-","4.9",
"밀","북평면","생산량[M/T]","M/T","108.3","84.3","61.5","62.7","22","45.7","1.1","1.1","-","19.1",
"밀","북일면","면적[ha]","ha","30.2","3","3","-","",".4","-","-","-","-",
"밀","북일면","생산량[M/T]","M/T","93.6","10.1","10.9","-","","1.6","-","-","-","-",
"밀","옥천면","면적[ha]","ha","63.7","26.7","23.1","19","22","27","33.8","1.5","4","-",
"밀","옥천면","생산량[M/T]","M/T","197.3","90","83.6","62.7","69","105","128.1","5.7","15.6","-",
"밀","계곡면","면적[ha]","ha","23.4","110","77","190","170","255.1","285.9","42.2","144","163.8",
"밀","계곡면","생산량[M/T]","M/T","72.5","370.7","278.7","627","536","992.3","1083.6","159.9","560.2","637.2",
"밀","마산면","면적[ha]","ha","115.7","229.3","206.5","227","272","285","203.3","75.7","89.6","355.9",
"밀","마산면","생산량[M/T]","M/T","370.1","772.7","747.5","749.1","857","1108.7","770.5","286.9","348.5","1384.5",
"밀","황산면","면적[ha]","ha","221.5","243","209.5","225","220","139","265","162","293","304.6",
"밀","황산면","생산량[M/T]","M/T","686.7","818.9","758.4","742.5","693","540.7","1004.4","614","1139.8","1184.9",
"밀","산이면","면적[ha]","ha","184.3","287.6","312.2","326","340","325","278","113.6","97.1","234.1",
"밀","산이면","생산량[M/T]","M/T","571.2","969.2","1130.2","1075.8","1071","1264.3","1053.6","430.5","377.7","910.6",
"밀","문내면","면적[ha]","ha","265.3","60","18","41","38","68.3","67.1","5.9","-","-",
"밀","문내면","생산량[M/T]","M/T","822.4","202.2","65.2","135.3","120","265.7","254.3","22.4","-","-",
"밀","화원면","면적[ha]","ha","63.7","55","60.3","63","94","62.7","89.7","54.2","2.7",".8",
"밀","화원면","생산량[M/T]","M/T","197.3","185.4","218.3","207.9","296","243.9","340","205.4","10.5","3.1",
