"읍면동별","식량작물별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"합계","합계","면적[㏊]","㏊","28252.9","35914.7","28276.8","28887","26760.2","25666.1","26404.63","26604.9","27145","27051","28251","28369",
"합계","합계","생산량[M/T]","M/T","164508","219173.7","180662.4","185868.4","164772","156068.5","160838","152416.8","150939","150651","154917","153060.4",
"합계","미곡","면적[㏊]","㏊","22421","29183","21941","22191","20897","20972","20975","19317.5","17551","17495","16462","18182.3",
"합계","미곡","생산량[M/T]","M/T","117300","175469","136847","140814.2","116195","116984","118987.6","106182.3","96472","96318","101077","101820.4",
"합계","맥류","면적[㏊]","㏊","3867.4","4421.1","4200.3","4404.2","3545.6","3086.8","3509.9","4359","5790","5764","5313","5369.8",
"합계","맥류","생산량[M/T]","M/T","16014.2","17531.7","18036.5","18458.5","16000.2","14137.1","15761.9","19963.7","27341","27329","17837","18159.6",
"합계","잡곡","면적[㏊]","㏊","63.8","117.3","69.2","71.1","68.3","68.3","152.93","143.5","160","157","128","128.1",
"합계","잡곡","생산량[M/T]","M/T","161.5","176","165.6","176.7","135.2","135.2","254.1","369.1","411","396","350","371.4",
"합계","두류","면적[㏊]","㏊","278.8","557.7","381","508.4","537.7","355.9","591.5","1517.7","2508","2503","5295","3588.2",
"합계","두류","생산량[M/T]","M/T","546.6","1069.3","764.5","1245.2","1270.6","1063.6","3201.4","4596.5","7596","7589","15707","11653.3",
"합계","서류","면적[㏊]","㏊","1621.9","1635.6","1684.8","1712.3","1711.6","1183.1","1175.3","1267.2","1137","1132","1053","1100.6",
"합계","서류","생산량[M/T]","M/T","30485.7","24927.9","24848.8","25172.4","31171","23748.6","22633","21305.2","19119","19017","19946","21055.7",
"만경읍","합계","면적[㏊]","㏊","1298.3","1223","1164","1324.6","1249.2","1249.2","1277","1277","1301","1301","1263","1422.3",
"만경읍","합계","생산량[M/T]","M/T","6457.7","6110.7","5881.7","6601","6728.2","6728.2","6831","6843","6924","6924","6882","7507.6",
"만경읍","미곡","면적[㏊]","㏊","870","824","784","930","900","900","990","990","897","897","783","990",
"만경읍","미곡","생산량[M/T]","M/T","4437","4202.4","4092.4","4800","5067","5067","5591","5600","5062","5062","4808","5544",
"만경읍","맥류","면적[㏊]","㏊","418","385","366","376.6","328","328","265","265","340","340","279","307",
"만경읍","맥류","생산량[M/T]","M/T","1876.8","1728.6","1483","1637","1490.4","1490.4","1071","1072.3","1533","1533","939","1049.5",
"만경읍","잡곡","면적[㏊]","㏊","","","","0","","","","","0","0","7","6.5",
"만경읍","잡곡","생산량[M/T]","M/T","","","","0","","","","","0","0","14","19.4",
"만경읍","두류","면적[㏊]","㏊","2.1","5","6","10","13.2","13.2","13","13","55","55","153","77.4",
"만경읍","두류","생산량[M/T]","M/T","3.8","9","10.6","17","23.8","23.8","20","19.7","178","178","463","250.9",
"만경읍","서류","면적[㏊]","㏊","8.2","9","8","8","8","8","9","9","9","9","41","41.4",
"만경읍","서류","생산량[M/T]","M/T","140","170.7","151.7","147","147","147","149","151","151","151","658","643.8",
"죽산면","합계","면적[㏊]","㏊","3348","3362","3394","3503","3191","2625.4","3067.9","3550.3","3584","3554","3287","3459.5",
"죽산면","합계","생산량[M/T]","M/T","16365.8","16415.6","16444.2","16914.4","16618.8","15337.7","19171.6","17681.9","17760","17741","11923","13209",
"죽산면","미곡","면적[㏊]","㏊","2341","2341","2306","2301","2136","2211","1963","1003.7","911","911","506","748",
"죽산면","미곡","생산량[M/T]","M/T","12407.3","12407.3","12221","12194","11814","12603","12225","6222","5684","5684","3106","4188.8",
"죽산면","맥류","면적[㏊]","㏊","941","955","987","995","798","339.2","872","1748.3","1823","1798","1188","1187.1",
"죽산면","맥류","생산량[M/T]","M/T","3349.7","3399.5","3509.4","3537.8","3547.1","1684","4325.1","8526.7","8988","8976","3961","4046.5",
"죽산면","잡곡","면적[㏊]","㏊","","","","0","","","10.6","","0","0","1",".6",
"죽산면","잡곡","생산량[M/T]","M/T","","","","0","","","74.2","","0","0","2","1.8",
"죽산면","두류","면적[㏊]","㏊","40","40","75","180","230","48.2","222","798","850","845","1591","1522.2",
"죽산면","두류","생산량[M/T]","M/T","120","120","225","675","759","552","2541.9","2928","3083","3076","4833","4946.8",
"죽산면","서류","면적[㏊]","㏊","26","26","26","27","27","27",".3",".3","0","0","2","1.6",
"죽산면","서류","생산량[M/T]","M/T","488.8","488.8","488.8","505.8","498.7","498.7","5.4","5.2","5","5","21","25.2",
"백산면","합계","면적[㏊]","㏊","944.5","944.5","887.5","887.5","954.5","926.5","985.2","924.8","961","961","1003","1136.7",
"백산면","합계","생산량[M/T]","M/T","5750.1","5750.1","5449.2","5449.2","6160.4","5620.4","6254.1","6277.5","6362","6362","6501","7212.3",
"백산면","미곡","면적[㏊]","㏊","837","837","780","780","841","841","842","793","700","700","629","793",
"백산면","미곡","생산량[M/T]","M/T","4452.8","4452.8","4152","4152","4592","4592","5022","5155","4617","4617","3862","4440.8",
"백산면","맥류","면적[㏊]","㏊","35.5","35.5","35.5","35.5","24","24","77.2","78","153","153","63","62.6",
"백산면","맥류","생산량[M/T]","M/T","141.6","141.6","141.6","141.6","98.6","98.6","307","310","771","771","210","209.2",
"백산면","잡곡","면적[㏊]","㏊","3","3","3","3","5","5","5.4","4.8","7","7","16","16.1",
"백산면","잡곡","생산량[M/T]","M/T","9","9","9","9","7.5","7.5","17","16","19","19","42","47.8",
"백산면","두류","면적[㏊]","㏊","4","4","4","4","4.5","4.5","6","11","63","63","158","127.3",
"백산면","두류","생산량[M/T]","M/T","7.6","7.6","7.6","7.6","8.3","8.3","8.1","21.5","180","180","420","412.2",
"백산면","서류","면적[㏊]","㏊","65","65","65","65","80","52","54.6","38","38","38","138","137.7",
"백산면","서류","생산량[M/T]","M/T","1139","1139","1139","1139","1454","914","900","775","775","775","1967","2102.3",
"용지면","합계","면적[㏊]","㏊","1690.3","1690.3","1654.8","1709.3","1634.4","1434.4","1441.2","1413.1","1351","1346","1072","1078.8",
"용지면","합계","생산량[M/T]","M/T","16967.6","16967.6","17016.4","18175","17563","13363","13394.8","13102.7","12178","12076","6317","6203.5",
"용지면","미곡","면적[㏊]","㏊","1010","1010","950","982","940","940","947","928.5","836","836","894","929",
"용지면","미곡","생산량[M/T]","M/T","5252","5252","5100","5892","5123","5123","5155","5386","4848","4848","5489","5202.4",
"용지면","맥류","면적[㏊]","㏊","3","3","3","3.8","1.5","1.5","1.5","1.5","79","79","-","-",
"용지면","맥류","생산량[M/T]","M/T","13.8","13.8","12.1","22","6.8","6.8","6.8","6.8","469","469","-","-",
"용지면","잡곡","면적[㏊]","㏊","11.8","11.8","9.8","10","11.1","11.1","10.2","10.8","12","12","16","16.2",
"용지면","잡곡","생산량[M/T]","M/T","29.2","29.2","25.4","26.2","19.1","19.1","18","20","23","23","41","48.5",
"용지면","두류","면적[㏊]","㏊","25.5","25.5","19","20.3","16.8","16.8","17.5","16.3","68","68","140","92.9",
"용지면","두류","생산량[M/T]","M/T","52.6","52.6","41.9","42.7","29.3","29.3","30.2","28.7","187","187","408","301.3",
"용지면","서류","면적[㏊]","㏊","640","640","673","693.2","665","465","465","456","356","351","22","40.7",
"용지면","서류","생산량[M/T]","M/T","11620","11620","11837","12192.1","12384.8","8184.8","8184.8","7661.2","6651","6549","379","651.3",
"백구면","합계","면적[㏊]","㏊","1013","1018","1095","1103.7","682.1","682.1","739.1","738.9","775","775","858","871.4",
"백구면","합계","생산량[M/T]","M/T","5392.5","5482","5887.7","5980.4","3793.1","3793.1","5252.3","5252.3","5333","5334","4706","4638.1",
"백구면","미곡","면적[㏊]","㏊","909","911","1071","1073","611","611","672","672","579","579","598","672",
"백구면","미곡","생산량[M/T]","M/T","4545","4550","5675","5685","3361","3361","4905.6","4905.6","4368","4368","3672","3763.2",
"백구면","맥류","면적[㏊]","㏊","63","63","1.4","8.4","52.1","52.1","54","54","129","129","89","88.6",
"백구면","맥류","생산량[M/T]","M/T","209.5","203","5.7","34.2","214.2","214.2","313.2","313.18","774","774","321","323.3",
"백구면","잡곡","면적[㏊]","㏊","2","3","1.9","1.8","1.8","1.8",".7",".7","3","3","3","3.4",
"백구면","잡곡","생산량[M/T]","M/T","5","7","3.1","2.9","4","4","1.3","1.3","1","1","8","10.2",
"백구면","두류","면적[㏊]","㏊","3","4","5.8","5.9","5.1","5.1","5.8","5.8","58","58","154","93.8",
"백구면","두류","생산량[M/T]","M/T","4.5","5.5","8.7","8.8","5.3","5.3","4.6","4.64","163","163","467","304.6",
"백구면","서류","면적[㏊]","㏊","36","37","14.4","14.6","12.1","12.1","6.6","6.4","6","6","14","13.6",
"백구면","서류","생산량[M/T]","M/T","628.5","716.5","191.2","249.5","208.6","208.6","27.6","27.6","28","28","239","236.8",
"부량면","합계","면적[㏊]","㏊","1966.3","1661.3","1688.3","1688.3","1635.8","1635.8","1626.1","1585.9","1620","1620","1935","1830",
"부량면","합계","생산량[M/T]","M/T","10103.7","8689.6","9219","9219","9102.1","9102.1","9096.1","8591.4","8672","8673","9228","8823",
"부량면","미곡","면적[㏊]","㏊","1597","1597","1510","1510","1457","1457","1464","1301","1208","1208","987","1101",
"부량면","미곡","생산량[M/T]","M/T","8464.1","8464.1","8162","8162","8319","8319","8359.4","7428.6","6891","6891","6060","6165.6",
"부량면","맥류","면적[㏊]","㏊","368","63","177","177","150","150","150","120","195","195","283","284.5",
"부량면","맥류","생산량[M/T]","M/T","1607.6","209.5","1043","1043","691.5","691.5","692","553.6","1015","1015","931","942.4",
"부량면","잡곡","면적[㏊]","㏊","","","","","0","","","","0","0","3","2.7",
"부량면","잡곡","생산량[M/T]","M/T","","","","","0","","","","0","0","7","8.1",
"부량면","두류","면적[㏊]","㏊","","","","","26.8","26.8","12.1","164.9","217","217","645","424.1",
"부량면","두류","생산량[M/T]","M/T","","","","","53.6","53.6","44.7","609.2","767","767","1898","1378.2",
"부량면","서류","면적[㏊]","㏊","1.3","1.3","1.3","1.3","2","2","","","0","0","18","17.7",
"부량면","서류","생산량[M/T]","M/T","32","16","14","14","38","38","","","0","0","332","328.7",
"공덕면","합계","면적[㏊]","㏊","1726.7","1726.7","1729.2","1729.2","1723","1558","1968","1969","2004","2001","1440","1502.4",
"공덕면","합계","생산량[M/T]","M/T","12556.5","12556.5","12554.5","12554.5","11381","10880.1","11034","10702.5","10791","10776","8348","8441",
"공덕면","미곡","면적[㏊]","㏊","1293","1293","1294","1294","1274","1274","1562","1562","1469","1469","1103","1179",
"공덕면","미곡","생산량[M/T]","M/T","6917.6","6917.6","6910","6910","7134","7134","8555","8555","8017","8017","6772","6602.4",
"공덕면","맥류","면적[㏊]","㏊","169.7","169.7","169.7","169.7","171","171","204","204","279","279","151","151.1",
"공덕면","맥류","생산량[M/T]","M/T","737.1","737.1","737.1","737.1","745.6","745.6","893","895","1356","1356","504","500.2",
"공덕면","잡곡","면적[㏊]","㏊","1","1","1","1","3","3","82","82","83","80","6","5.8",
"공덕면","잡곡","생산량[M/T]","M/T","2.5","2.5","2.5","2.5","8.5","8.5","55","232","239","224","17","17.4",
"공덕면","두류","면적[㏊]","㏊","3","3","3.5","3.5","4","4","47","47","99","99","143","104.6",
"공덕면","두류","생산량[M/T]","M/T","5.6","5.6","6","6","7","7","66","70.5","229","229","433","339.7",
"공덕면","서류","면적[㏊]","㏊","260","260","261","261","271","106","73","74","74","74","37","61.9",
"공덕면","서류","생산량[M/T]","M/T","4893.9","4893.9","4899","4899","3485.9","2985","1465","950","950","950","623","981.3",
"청하면","합계","면적[㏊]","㏊","1090","9670","1203.4","1209.4","1169.4","1169.4","1128.6","1128.9","1164","1164","1209","1155.4",
"청하면","합계","생산량[M/T]","M/T","5765","52731","5205.2","6511.6","6892.2","6892.2","6325.2","6325.5","6410","6411","6525","5985.8",
"청하면","미곡","면적[㏊]","㏊","917","8890","915","917","948","948","861","861.3","768","768","856","861.2",
"청하면","미곡","생산량[M/T]","M/T","4970.1","50001","3660","4860","5404","5404","4659.3","4659.6","4122","4122","5257","4822.4",
"청하면","맥류","면적[㏊]","㏊","88","480","190.4","186","152","152","200","200","275","275","179","183.6",
"청하면","맥류","생산량[M/T]","M/T","371.4","1920","844","837","672","672","900","900","1361","1361","591","613.6",
"청하면","잡곡","면적[㏊]","㏊","","","3","3.4","3.4","3.4","3.6","3.6","5","5","2","2.1",
"청하면","잡곡","생산량[M/T]","M/T","","","7.2","13.6","8.2","8.2","8.6","8.6","12","12","5","6.3",
"청하면","두류","면적[㏊]","㏊","65","280","60","65","25","25","26","26","78","78","157","93.2",
"청하면","두류","생산량[M/T]","M/T","123.5","560","114","117","45","45","46.8","46.8","205","205","448","302.8",
"청하면","서류","면적[㏊]","㏊","20","20","35","38","41","41","38","38","38","38","15","15.3",
"청하면","서류","생산량[M/T]","M/T","300","250","580","684","763","763","710.5","710.5","711","711","223","240.7",
"성덕면","합계","면적[㏊]","㏊","1480.4","1627.1","1578.8","1578.8","1571","1571","1469.4","1395.8","1431","1431","2089","1917.5",
"성덕면","합계","생산량[M/T]","M/T","7743.6","9095.9","8043.8","8043.8","8783.3","8783.3","8229.9","7563.3","7647","7647","10407","9441.4",
"성덕면","미곡","면적[㏊]","㏊","1206","1325","1256","1256","1277","1277","1178","1077","984","984","1062","1077",
"성덕면","미곡","생산량[M/T]","M/T","6452.1","7542","6280","6280","7279","7279","6726.3","6124.3","5586","5586","6521","6031.2",
"성덕면","맥류","면적[㏊]","㏊","212.4","245.1","261.8","261.8","235","235","232","189","264","264","665","665.2",
"성덕면","맥류","생산량[M/T]","M/T","942.6","1156","1309","1309","1061.6","1061.6","1058","967","1428","1428","2229","2225.5",
"성덕면","잡곡","면적[㏊]","㏊","20","10","10","10","8","8","6.6","2.8","4","4","6","5.6",
